|Driver|BAH|SAU|AUS|ITA|USA|SPA|MON|AZE|CAN|BRI|AUS.1|FRA|HUN|BEL|NET|ITA.1|SIN|JAP|USA.1|MEX|BRA|ABU|Total
0|Hamilton  Mercedes|34|13|26|5|19|21|11|26|48|39|39|38|44|4|25|22|0|0|0|0|0|0|414
1|Verstappen  Red Bull|5|45|4|62|56|45|28|54|44|16|53|45|55|49|54|45|0|0|0|0|0|0|660
2|Russell  Mercedes|28|26|33|33|36|33|26|34|27|1|35|30|27|30|53|33|0|0|0|0|0|0|485
3|Perez  Red Bull|4|22|35|44|28|49|46|38|-8|36|4|22|23|32|20|30|0|0|0|0|0|0|425
4|Alonso  Alpine|9|-3|-5|2|5|14|19|22|7|37|18|23|12|24|34|-4|0|0|0|0|0|0|214
5|Leclerc  Ferrari|49|41|49|30|50|5|22|5|23|22|60|5|14|20|31|35|0|0|0|0|0|0|461
6|Gasly  AlphaTauri|-4|17|14|13|-1|5|15|26|11|-6|8|13|15|16|6|17|0|0|0|0|0|0|165
7|Vettel  Aston Martin|4|15|-7|24|-5|17|10|25|14|19|8|11|16|19|12|-7|0|0|0|0|0|0|175
8|Sainz  Ferrari|32|27|-5|7|31|25|34|0|42|49|10|32|26|31|11|32|0|0|0|0|0|0|384
9|Tsunoda  AlphaTauri|19|-9|-1|30|3|15|-5|-3|-9|4|3|-2|-2|12|-3|5|0|0|0|0|0|0|57
10|Ocon  Alpine|20|21|20|13|19|24|1|10|21|-8|34|15|6|14|23|6|0|0|0|0|0|0|239
11|Bottas  Alfa Romeo|22|-2|20|34|17|23|26|14|20|-8|12|6|-1|-9|-9|3|0|0|0|0|0|0|168
12|Stroll  Aston Martin|15|9|15|15|11|8|10|8|16|12|14|16|11|11|11|-9|0|0|0|0|0|0|173
13|Albon  Williams|10|13|5|14|19|6|-7|17|6|-9|14|12|7|10|14|18|0|0|0|0|0|0|149
14|Zhou  Alfa Romeo|14|10|9|8|-9|-8|10|-6|15|-3|7|6|4|6|4|15|0|0|0|0|0|0|82
15|Latifi  Williams|10|-9|8|10|12|13|13|8|8|6|-7|-9|6|0|6|4|0|0|0|0|0|0|79
16|Magnussen  Haas|27|14|6|18|2|-1|-6|-7|5|15|19|-4|-1|9|8|10|0|0|0|0|0|0|114
17|Schumacher  Haas|5|-8|12|-3|8|0|-8|15|-2|19|26|13|8|1|2|15|0|0|0|0|0|0|103
18|Ricciardo  Mclaren|13|-8|18|5|8|2|5|18|7|5|15|9|-4|-5|2|-4|0|0|0|0|0|0|86
19|Norris  Mclaren|1|22|24|43|-2|16|26|11|1|22|29|17|16|6|19|24|0|0|0|0|0|0|275
