|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|3|2|1|78%|2022-06-09 08:20:40
1|Pierre Gasly  GAS  AlphaTauri|-1|0|0|77%|2022-06-09 08:20:40
2|Mick Schumacher  SCH  Haas|-4|-1|0|51%|2022-06-09 08:20:40
3|Charles Leclerc  LEC  Ferrari|1|0|0|37%|2022-06-09 08:20:40
4|Kevin Magnussen  MAG  Haas|1|0|0|20%|2022-06-09 08:20:40
5|Valtteri Bottas  BOT  Alfa Romeo|6|2|1|19%|2022-06-09 08:20:40
6|Lando Norris  NOR  Mclaren|-3|-1|0|6%|2022-06-09 08:20:40
7|Sergio Perez  PER  Red Bull|5|3|1|5%|2022-06-09 08:20:40
8|Lance Stroll  STR  Aston Martin|4|4|4|4%|2022-06-09 08:20:40
9|Max Verstappen  VER  Red Bull|-1|-1|0|3%|2022-06-09 08:20:40
10|Fernando Alonso  ALO  Alpine|-1|-1|-1|-10%|2022-06-09 08:20:40
11|SAI  Carlos Sainz  Ferrari|0|0|0|-23%|2022-06-09 08:20:40
12|Nicholas Latifi  LAT  Williams|1|0|0|-30%|2022-06-09 08:20:40
13|Esteban Ocon  OCO  Alpine|-2|-1|0|-45%|2022-06-09 08:20:40
14|Guanyu Zhou  ZHO  Alfa Romeo|-28|-10|-2|-47%|2022-06-09 08:20:40
15|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|-54%|2022-06-09 08:20:40
16|Alex Albon  ALB  Williams|-11|-4|-1|-58%|2022-06-09 08:20:40
17|Sebastian Vettel  VET  Aston Martin|0|0|0|-78%|2022-06-09 08:20:40
18|Lewis Hamilton  HAM  Mercedes|-1|-1|0|-81%|2022-06-09 08:20:40
19|Daniel Ricciardo  RIC  Mclaren|-4|-2|-1|-90%|2022-06-09 08:20:40
