|Team|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Red Bull|26|22|0|93%|$35.2m|$32.5m|1.73|2022-09-27 19:04:50
1|Ferrari|1|1|0|1%|$27.5m|$25.0m|1.7|2022-09-27 19:04:50
2|Williams|-1|-1|0|-7%|$6.1m|$7.0m|1.48|2022-09-27 19:04:50
3|Mclaren|-24|-22|-1|-24%|$15.1m|$18.5m|1.13|2022-09-27 19:04:50
4|Aston Martin|-4|-3|0|-31%|$11.5m|$11.5m|1.42|2022-09-27 19:04:50
5|Haas|-2|-1|0|-37%|$6.3m|$6.0m|1.45|2022-09-27 19:04:50
6|AlphaTauri|-19|-16|0|-58%|$8.7m|$10.5m|0.95|2022-09-27 19:04:50
7|Alfa Romeo|-6|-5|0|-60%|$8.1m|$8.0m|1.23|2022-09-27 19:04:50
8|Alpine|-1|0|0|-74%|$14.1m|$14.0m|1.5|2022-09-27 19:04:50
9|Mercedes|-5|-4|0|-98%|$33.9m|$34.5m|1.49|2022-09-27 19:04:50
