|Team|BAH|SAU|AUS|ITA|USA|SPA|MON|AZE|CAN|BRI|AUS.1|FRA|HUN|BEL|NET|ITA.1|SIN|JAP|USA.1|MEX|BRA|ABU|Total
0|Mercedes|57|34|64|31|40|49|42|60|55|30|72|63|76|29|58|50|0|0|0|0|0|0|810.0
1|Red Bull|4|62|39|99|69|94|69|77|31|42|50|62|63|86|64|65|0|0|0|0|0|0|976.0
2|Alpine|24|13|10|8|19|33|15|27|23|14|40|33|23|33|32|-3|0|0|0|0|0|0|344.0
3|Ferrari|76|63|44|30|56|30|51|3|60|61|63|37|35|41|47|52|0|0|0|0|0|0|749.0
4|AlphaTauri|10|3|8|36|-3|15|5|18|-3|-7|4|6|8|23|-2|17|0|0|0|0|0|0|138.0
5|Aston Martin|14|19|3|32|1|20|15|28|25|26|15|22|22|25|18|-18|0|0|0|0|0|0|267.0
6|Alfa Romeo|31|3|24|35|3|10|21|3|30|-13|12|7|-2|-8|-10|13|0|0|0|0|0|0|159.0
7|Williams|15|-1|8|17|26|14|1|20|9|-8|0|-2|8|5|15|17|0|0|0|0|0|0|144.0
8|Haas|27|1|13|8|5|-6|-16|3|-2|29|38|4|2|5|5|20|0|0|0|0|0|0|136.0
9|Mclaren|9|9|37|41|1|13|26|24|3|22|37|21|7|-4|16|10|0|0|0|0|0|0|272.0
