Team|BAH|SAU|AUS|ITA|USA|SPA|MON|AZE|CAN|BRI|AUS.1|FRA|HUN|BEL|NET|ITA.1|SIN|JAP|USA.1|MEX|BRA|ABU|Total|avg|avg_8r|avg_4r|max|median|pts_price|pts_price_med|Current Price|Season Start PriceSeason Price|Points/Million|diff_price
Mercedes|57|34|64|31|40|49|42|60|55|30|72|63|76|29|58|50|0|0|0|0|0|0|810.0|50.625|54.125|53.25|76|52.5|34.001752190237795|35.26107634543179|34.2|34.5|1.48|-0.1982478097622078
Red Bull|4|62|39|99|69|94|69|77|31|42|50|62|63|86|64|65|0|0|0|0|0|0|976.0|61.0|57.875|69.5|99|63.5|40.97001251564455|42.649111389236545|32.7|32.5|1.87|8.270012515644545
Alpine|24|13|10|8|19|33|15|27|23|14|40|33|23|33|32|-3|0|0|0|0|0|0|344.0|21.5|24.375|21.25|40|23.0|14.440250312891113|15.447709637046307|14.1|14.0|1.52|0.3402503128911132
Ferrari|76|63|44|30|56|30|51|3|60|61|63|37|35|41|47|52|0|0|0|0|0|0|749.0|46.8125|49.5|43.75|76|49.0|31.44112640801001|32.910337922403|25.8|25.0|1.81|5.64112640801001
AlphaTauri|10|3|8|36|-3|15|5|18|-3|-7|4|6|8|23|-2|17|0|0|0|0|0|0|138.0|8.625|5.75|11.5|36|7.0|5.792891113892365|4.701476846057571|10.2|10.5|0.85|-4.407108886107634
Aston Martin|14|19|3|32|1|20|15|28|25|26|15|22|22|25|18|-18|0|0|0|0|0|0|267.0|16.6875|16.875|11.75|32|19.5|11.20798498122653|13.09697121401752|11.8|11.5|1.41|-0.5920150187734698
Alfa Romeo|31|3|24|35|3|10|21|3|30|-13|12|7|-2|-8|-10|13|0|0|0|0|0|0|159.0|9.9375|3.625|-1.75|35|8.5|6.67441802252816|5.708936170212765|8.6|8.0|1.16|-1.9255819774718397
Williams|15|-1|8|17|26|14|1|20|9|-8|0|-2|8|5|15|17|0|0|0|0|0|0|144.0|9.0|5.5|11.25|26|8.5|6.044755944931164|5.708936170212765|6.2|7.0|1.45|-0.15524405506883632
Haas|27|1|13|8|5|-6|-16|3|-2|29|38|4|2|5|5|20|0|0|0|0|0|0|136.0|8.5|12.625|8.0|38|5.0|5.708936170212765|3.35819774718398|6.4|6.0|1.33|-0.6910638297872351
Mclaren|9|9|37|41|1|13|26|24|3|22|37|21|7|-4|16|10|0|0|0|0|0|0|272.0|17.0|14.0|7.25|41|14.5|11.41787234042553|9.73877346683354|17.7|18.5|0.96|-6.282127659574469
